H2,CH4,C2H2,C2H4,C2H6,CO,Fault Type
600,300,6787,4433,3122,2212,3
1000,233,2,323,2221,1111,3
5000,500,35,11,210,900,3
1400,550,7,700,2000,650,3
1,100,320,200,333,211,3
1,10,320,200,10,211,3
200,1000,800,200,875,40,3
0,100,3,90,0,100,3
0,0,0,0,0,0,3
0,0,100,0,150,40000,3
600,400,280,400,250,300,3
600,450,300,800,400,300,3
300,50,14,1000,389,65,3
206,998,330,709,83,345,3
953,737,469,39,465,657,3
523,438,220,697,769,55,3
230,367,666,777,375,632,3
513,677,699,980,176,18,3
98,38,2,3,0,7,3
11,12,22,78,31,32,3
206,998,323,709,83,345,3
953,737,464,39,465,657,3
523,438,217,697,769,55,3
230,367,664,777,375,632,3
513,677,693,980,176,18,3
98,38,1,3,0,7,3
11,12,22,78,31,32,3
140,1,76,97,35,24,3
38,48,25,72,90,31,3
0,44,62,73,22,7,3
3,3,85,37,40,2481,3
7746,2016,6945,1443,7806,3307,3
1642,976,6804,6685,6790,1882,3
1585,4829,2572,1839,186,3231,3
7722,5145,1712,6242,1730,2973,3
7919,6490,1697,4115,3548,4910,3
7487,4463,2511,6973,2605,6531,3
2456,1381,7237,5040,4641,7365,3
5884,4880,2293,4776,2489,5147,3
2443,3422,6394,3000,7852,1797,3
4395,5201,2121,6788,6933,149,3
4898,6438,5545,5074,6849,6929,3
7639,2318,5011,886,2956,5937,3
7613,1120,3393,4751,3363,2494,3
2366,1031,7025,108,5909,5272,3
5054,4144,6974,7020,4174,6354,3
100,200,1211,3222,188,211,3
400,380,1,400,5800,790,3
100,40,4,335,2311,356,3
454,6713,9,1,454,200,3
600,300,6788,4433,3122,2212,3
1000,233,2,323,2221,1111,3
5000,500,35,11,210,900,3
1400,550,6,700,2000,650,3
1,100,321,200,333,211,3
1,10,321,200,10,211,3
200,1000,801,200,875,40,3
0,100,4,90,0,100,3
0,0,0,0,0,0,3
0,0,101,0,150,400,3
600,400,281,400,250,300,3
600,450,301,800,400,300,3
300,50,15,1000,389,65,3
953,737,460,39,465,657,3
523,438,215,697,769,55,3
230,367,660,777,375,632,3
513,677,690,980,176,18,3
98,38,2,3,0,7,3
11,12,23,78,31,32,3
140,1,77,97,35,24,3
38,48,26,72,90,31,3
0,44,63,73,22,7,3
3,3,87,37,40,2481,3
7746,2016,6943,1443,7806,3307,3
1642,976,6800,6685,6790,1882,3
1585,4829,2570,1839,186,3231,3
7722,5145,1710,6242,1730,2973,3
7919,6490,1690,4115,3548,4910,3
7487,4463,2510,6973,2605,6531,3
2456,1381,7230,5040,4641,7365,3
5884,4880,2290,4776,2489,5147,3
2443,3422,6390,3000,7852,1797,3
4395,5201,2120,6788,6933,149,3
4898,6438,5545,5074,6849,6929,3
7639,2318,5010,886,2956,5937,3
7613,1120,3390,4751,3363,2494,3
2366,1031,7020,108,5909,5272,3
5054,4144,6970,7020,4174,6354,3
230,367,666,777,375,632,3
513,677,699,980,176,18,3
98,38,3,3,0,7,3
11,12,25,78,31,32,3
140,1,79,97,35,24,3
38,48,29,72,90,31,3
0,44,68,73,22,7,3
3,3,89,37,40,2481,3
