H2,CH4,C2H2,C2H4,C2H6,Label,
0.489391,0.166225,0.679929,0.146773,0.007073,2,
0.207317,0.161538,0.430769,0.376923,0.030769,2,
0.422228,0.184077,0.496088,0.287161,0.032674,2,
0.40107,0.580357,0.133929,0.245536,0.040179,2,
0.361393,0.26156,0.402346,0.318841,0.017253,2,
0.231936,0.24971,0.321719,0.387921,0.04065,2,
0.547445,0.241935,0.419355,0.225806,0.112903,2,
0.359079,0.364693,0.264271,0.281184,0.089852,2,
0.550459,0.102041,0.428571,0.428571,0.040816,2,
0.47619,0.282828,0.323232,0.313131,0.080808,2,
0.301783,0.151277,0.471513,0.333988,0.043222,2,
0.537929,0.295975,0.453828,0.23678,0.013418,2,
0.205781,0.154226,0.493523,0.326959,0.025293,2,
0.216484,0.276298,0.35524,0.345372,0.023091,2,
0.145803,0.293103,0.327586,0.344828,0.034483,2,
0.157841,0.139057,0.459492,0.368803,0.032648,2,
0.434075,0.153404,0.575264,0.249281,0.022052,2,
0.567967,0.346188,0.283085,0.346188,0.02454,2,
0.165494,0.128904,0.565196,0.287556,0.018344,2,
0.411051,0.194508,0.297483,0.450801,0.057208,2,
0.578915,0.383502,0.314038,0.277135,0.025326,2,
0.168712,0.114391,0.461255,0.258303,0.166052,2,
0.319021,0.213978,0.414029,0.355786,0.016207,2,
0.55858,0.301508,0.348561,0.325263,0.024669,2,
0.359765,0.275229,0.383028,0.300459,0.041284,2,
0.5625,0.28022,0.357143,0.342857,0.01978,2,
0.326439,0.390875,0.222088,0.313775,0.073262,2,
0.316283,0.331239,0.27984,0.325528,0.063392,2,
0.596445,0.354715,0.325155,0.295596,0.024534,2,
0.287315,0.271316,0.41927,0.295505,0.013908,2,
0.28744,0.188849,0.447071,0.341727,0.022354,2,
0.068867,0.939908,0,0.015408,0.044684,3,
0.315789,0.692308,0,0.153846,0.153846,3,
0.488889,0.869565,0,0.101449,0.028986,3,
0.485925,0.612777,0.039765,0.209909,0.137549,3,
0,0.936571,0.016353,0.026759,0.020317,3,
0.24032,0.536028,0.007909,0.228471,0.227592,3,
0.012195,0.333333,0.012346,0.049383,0.604938,3,
0.191323,0.642697,0.00149,0.258942,0.09687,3,
0.39759,0.58,0.18,0.24,0,3,
0.356792,0.465522,0.172646,0.361832,0,3,
0.297546,0.480349,0.148472,0.371179,0,3,
0.328865,0.497115,0.144252,0.358633,0,3,
0.061008,0.052369,0.745328,0.201,0.001304,3,
0.335617,0.505157,0.138918,0.35361,0.002315,3,
0.377637,0.521186,0.161017,0.317797,0,3,
0.33211,0.445055,0.192308,0.362637,0,3,
0.172614,0.480083,0.002013,0.426402,0.091502,4,
0.181365,0.385339,0.000301,0.463648,0.150711,4,
0.122825,0.583431,0.000875,0.227538,0.188156,4,
0.160804,0.429142,0,0.451896,0.118962,4,
0.098936,0.322283,0.243855,0.433862,0,4,
0.102623,0.298327,0.219914,0.476846,0.004913,4,
0.084933,0.31981,0.186226,0.383139,0.110825,4,
0.10262,0.291971,0.218978,0.481752,0.007299,4,
0.060165,0.392994,0.196497,0.409887,0.000622,4,
0.090775,0.414154,0.218993,0.366853,0,4,
0.089451,0.321578,0.206838,0.471315,0.000269,4,
0.253968,0.49078,0.201418,0.307801,0,4,
0.075932,0.434316,0.191957,0.373727,0,4,
0.221908,0.41483,0.006741,0.52113,0.057298,5,
0.084746,0.308429,0.018199,0.577905,0.095466,5,
0.079882,0.364634,0.000208,0.468815,0.166343,5,
0.097179,0.288194,0.092593,0.619213,0,5,
0.184946,0.440633,0.010554,0.540897,0.007916,5,
0.595238,0.215686,0.107843,0.588235,0.088235,5,
0.167084,0.471414,0.012036,0.411234,0.105316,5,
0.000101,0.050573,0.001133,0.441047,0.507248,5,
0.091659,0.201816,0.0111,0.676085,0.110999,5,
0.111154,0.543338,0.00345,0.353601,0.099612,5,
0.14432,0.29815,0.020022,0.593036,0.088792,5,
0.242917,0.352043,0.100935,0.495651,0.05137,5,
0.155517,0.3406,0.075199,0.49655,0.08765,5,
0.00813,0.065574,0.04918,0.819672,0.065574,5,
0.099469,0.257732,0.013255,0.62592,0.103093,5,
0.21063,0.356608,0.004988,0.553616,0.084788,5,
0.179173,0.314677,0.100124,0.578358,0.006841,5,
0.167488,0.293491,0.106213,0.600296,0,5,
0.183534,0.345831,0.077812,0.574945,0.001412,5,
0.16137,0.286284,0.120849,0.583128,0.009738,5,
0.140136,0.334635,0.070716,0.591105,0.003544,5,
0.093458,0.274971,0.095005,0.627186,0.002838,5,
0.145141,0.295108,0.114388,0.587986,0.002518,5,
0.928024,0.938528,0,0,0.061472,0,
0.949629,0.86783,0.00399,0.00399,0.12419,0,
0.900778,1,0,0,0,0,
0.52,0.277778,0.388889,0.180556,0.152778,1,
0.267544,0.11976,0.647904,0.192814,0.039521,1,
0.063406,0.011605,0.932302,0.05029,0.005803,1,
0.181302,0.04894,0.766721,0.167618,0.016721,1,
0.52452,0.146188,0.620628,0.208969,0.024215,1,
0.569106,0.235849,0.03066,0.318396,0.415094,2,
0.461912,0.225904,0.046687,0.346386,0.381024,2,
0.324028,0.192478,0.074484,0.306785,0.426254,2,
0.482336,0.372701,0.028755,0.373936,0.224608,2,
0.432266,0.200651,0.478308,0.321041,0,2,
0.503232,0.241636,0.444238,0.284387,0.02974,2,
0.613365,0.319503,0.390504,0.268471,0.021522,2,
0.073684,0.25,0.005682,0.039773,0.704545,3,
0.921925,0.866279,0,0.017442,0.116279,3,
0.217391,0.591787,0.158816,0.249396,0,3,
0.340329,0.515907,0.137575,0.343938,0.00258,3,
0.036569,0.276326,0,0.412565,0.311108,5,
0.181036,0.345964,0.024712,0.583196,0.046129,5,
0.116645,0.313561,0.107944,0.578495,0,5,
0.165017,0.167984,0.20751,0.612648,0.011858,5,
0.166293,0.290186,0.07385,0.619669,0.016295,5,
0.973805,0.371747,0.005576,0.557621,0.065056,4,
0.158679,0.465791,0.011912,0.321472,0.200825,4,
0.157878,0.392763,0.189351,0.414323,0.003562,4,
